gender,grad_year,course,Poly_Uni_attended,Uni_Poly_Type,qualification,NYSC_complete,course_helped_emp,course_helped_skills,best_sector,job_search_mode,job1_reason,job1_x_qual,job1_level,job1_via_NYSC,car_rent_from_job1
Female,2014,Law,University of Benin,Federal,Bachelor's degree,Yes,Agree,Knowledge of the skill(s) you are studying,Legal,"Personal contacts, including family and friends",,,,No,Yes
Female,2016,International and Jurisprudence,Covenant University Ota,Private,Bachelor's degree,Yes,Strongly Disagree,"Critical thinking skills, Written communication skills, Spoken communication skills",Consulting,"Personal contacts, including family and friends",,,,Yes,No
Male,2013,Business Management,"University of Nigeria, Nsukka",Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Consulting,Social media/professional networking sites,It was the only job offer I received,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2017,Industrial Relations and Personnel Management,Covenant University Ota,Private,Master's degree,Yes,,,,,,,,No,
Male,2013,Botany,University of Ilorin,Federal,Master's degree,Yes,Disagree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others",NGO,"Personal contacts, including family and friends",,,,Yes,No
Female,2016,English and Literary Studies,"Madonna University, Okija",Private,Bachelor's degree,Ongoing,Disagree,"Critical thinking skills, Ability to work with others, Spoken communication skills",Media,"Personal contacts, including family and friends",It was the only job offer I received,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2014,Mathematics,"Federal University of Technology, Minna.",Federal,Bachelor's degree,Yes,,,,,,,,No,
Male,2013,Mechanical Engineering,"Modibbo Adama University of Technology, Yola",Federal,Bachelor's degree,Yes,Strongly Disagree,"Written communication skills, Knowledge of the skill(s) you are studying",Engineering,Employer's website,To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2017,Computer Science,University of Lagos,Federal,Bachelor's degree,No,,,,,,,,No,
Male,2013,Electrical Engineering,"Ambrose Alli University, Ekpoma,",State,Master's degree,Yes,Strongly Disagree,Critical thinking skills,Oil & Gas / Mining,Media (e.g. newspaper/magazine advertisement),,,,No,No
Male,2015,Education And Geography/Physics,University of Maiduguri,Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",NGO,Recruitment agency/Online job site,To gain and broaden my experience in order to get the type of job I really want,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,No,No
Male,2017,Education And Biology,"National Open University of Nigeria, Lagos.",Federal,Bachelor's degree,No,Strongly Agree,"Ability to solve complex problems, Knowledge of the skill(s) you are studying",Education,Internship,It fitted into my career plan/it was exactly the type of work I wanted,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2016,Linguistics and Nigerian Languages,"Abia State University, Uturu.",State,Bachelor's degree,Ongoing,Strongly Disagree,"Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",NGO,"Personal contacts, including family and friends",,,,Yes,No
Male,2014,Electrical Engineering,"University of Nigeria, Nsukka",Federal,Master's degree,Yes,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Technology,"Personal contacts, including family and friends",,,,No,No
Male,2014,Physics and Astronomy,"Ladoke Akintola University of Technology, Ogbomoso",State,Bachelor's degree,Yes,,,,,,,,No,
Male,2013,Business Administration,Covenant University Ota,Private,Bachelor's degree,Yes,Disagree,Ability to solve complex problems,Banking / Financial Services,"Personal contacts, including family and friends",It was the best job offer I received,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,No,No
Male,2017,Computer Engineering,University of Uyo,Federal,Bachelor's degree,No,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Ecommerce/Internet,Internship,,,,No,No
Female,2017,Economics,University of Benin,Federal,Bachelor's degree,No,,,,,,,,No,
Male,2013,Mass Communication (Communication and Language Arts),University of Lagos,Federal,Master's degree,Yes,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Advertising / Marketing / Comms,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Clerical and administrative,No,No
Female,2015,Computer Science,Crawford University Igbesa,Private,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Technology,"Personal contacts, including family and friends",,,,No,No
Male,2014,Computer Science,"National Open University of Nigeria, Lagos.",Federal,Bachelor's degree,No,Disagree,Knowledge of the skill(s) you are studying,Telecommunications,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,No,No
Male,2014,Banking and Finance,University of Ilorin,Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Written communication skills, Spoken communication skills",Banking / Financial Services,"Personal contacts, including family and friends",,,,No,No
Male,2015,Pharmacology and Therapeutics,Olabisi Onabanjo University Ago-Iwoye,State,Bachelor's degree,Ongoing,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Agriculture/Poultry/Fishing,Social media/professional networking sites,It fitted into my career plan/it was exactly the type of work I wanted,Yes: the qualification was a formal requirement,Experience/Professional,No,No
Male,2014,Mechanical Engineering,"Anambra State University of Science & Technology, Uli",State,Master's degree,Yes,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Knowledge of the skill(s) you are studying",Oil & Gas / Mining,Social media/professional networking sites,In order to earn a living/pay off debts,No: the qualification was not required,Clerical and administrative,No,No
Male,2014,Accountancy,"Lagos State University Ojo, Lagos.",State,Bachelor's degree,No,Agree,Ability to work with others,Oil & Gas / Mining,"Personal contacts, including family and friends",In order to earn a living/pay off debts,Yes: the qualification was a formal requirement,Experience/Professional,No,No
Male,2013,Geoinformatics and Surveying,"Federal Polytechnic Ado Ekiti, Ekiti State.",Federal,Master's degree,Yes,Agree,Knowledge of the skill(s) you are studying,Construction / Real Estate,"Personal contacts, including family and friends",,,,No,No
Male,2017,Pure and Industrial Chemistry,"Federal University of Technology, Akure",Federal,Master's degree,Yes,,,,,,,,No,
Male,2017,Economics,Covenant University Ota,Private,Bachelor's degree,No,Agree,"Critical thinking skills, Ability to work with others, Written communication skills, Spoken communication skills",Banking / Financial Services,Internship,,,,No,No
Male,2016,Computer Science,"Caleb University, Lagos",Private,Bachelor's degree,Yes,,,,,,,,No,
Male,2014,Botany,University of Benin,Federal,Bachelor's degree,Yes,,,,,,,,No,
Male,2014,Economics,"Babcock University,Ilishan-Remo",Private,Bachelor's degree,Yes,Disagree,Spoken communication skills,Power/Energy,Social media/professional networking sites,It was the only job offer I received,No: the qualification was not required,Clerical and administrative,No,No
Male,2015,Physics and Astronomy,Delta State University Abraka,State,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Spoken communication skills, Knowledge of the skill(s) you are studying",Oil & Gas / Mining,Internship,In order to earn a living/pay off debts,No: the qualification was not required,Entry level,No,No
Female,2017,Veterinary Medicine,"University of Nigeria, Nsukka",Federal,Bachelor's degree,No,Strongly Agree,Knowledge of the skill(s) you are studying,Healthcare,Social media/professional networking sites,To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Experience/Professional,No,No
Male,2017,Computer Engineering,University of Uyo,Federal,Bachelor's degree,No,Disagree,"Ability to work with others, Written communication skills",Ecommerce/Internet,Internship,To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Experience/Professional,No,No
Male,2015,Geography,University of Ibadan,Federal,Bachelor's degree,Yes,,,,,,,,No,
Female,2014,Banking and Finance,University of Lagos,Federal,Master's degree,Yes,Strongly Disagree,Critical thinking skills,Banking / Financial Services,Social media/professional networking sites,,,,No,No
Male,2015,Civil Engineering,"Federal Polytechnic Nekede, Owerri, Imo State.",Federal,Higher National Diploma (HND),Yes,Agree,Ability to solve complex problems,Engineering,Social media/professional networking sites,,,,No,No
Female,2014,Mass Communication (Communication and Language Arts),"Redeemer's University, Mowe",Private,Master's degree,Yes,Strongly Agree,"Written communication skills, Spoken communication skills",Advertising / Marketing / Comms,Social media/professional networking sites,It was the only job offer I received,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,No,No
Female,2014,Computer Science,University of Benin,Federal,Bachelor's degree,Yes,Disagree,"Critical thinking skills, Ability to work with others",Telecommunications,Social media/professional networking sites,,,,Yes,No
Male,2014,Sociology/Anthropology,University of Uyo,Federal,Bachelor's degree,Yes,,,,,,,,Yes,
Male,2016,Physics and Astronomy,University of Ilorin,Federal,Bachelor's degree,Yes,,,,,,,,Yes,
Female,2014,Industrial Relations and Personnel Management,"Osun State University, Oshogbo",State,Bachelor's degree,Yes,Agree,"Ability to work with others, Written communication skills, Spoken communication skills",Creatives/Art/Design,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Clerical and administrative,No,No
Female,2015,Insurance,"Imo State University, Owerri",State,Bachelor's degree,Yes,,,,,,,,No,
Male,2017,Petroleum and Gas Engineering,University of Port-Harcourt,Federal,Bachelor's degree,Ongoing,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Oil & Gas / Mining,"Personal contacts, including family and friends",,,,Yes,No
Male,2013,Industrial Relations and Personnel Management,Olabisi Onabanjo University Ago-Iwoye,State,Bachelor's degree,Yes,Strongly Disagree,"Critical thinking skills, Written communication skills, Knowledge of the skill(s) you are studying",Power/Energy,"University/polytechnic (e.g. Careers Service, lecturer, website)",To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2015,Law,"University of Abuja, Gwagwalada",Federal,Bachelor's degree,Yes,Agree,Knowledge of the skill(s) you are studying,Legal,"Personal contacts, including family and friends",,,,No,No
Male,2013,Computer Science,University of Uyo,Federal,Master's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Technology,Media (e.g. newspaper/magazine advertisement),It fitted into my career plan/it was exactly the type of work I wanted,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,No,Yes
Female,2017,Insurance,University of Uyo,Federal,Bachelor's degree,Ongoing,Disagree,"Critical thinking skills, Ability to work with others, Written communication skills",Consulting,Recruitment agency/Online job site,,,,Yes,No
Male,2016,Biochemistry,"Benue State Polytechnic, Ugbokolo, Benue State.",State,Higher National Diploma (HND),Ongoing,,,,,,,,No,
Male,2013,Theatre and Film Studies,University of Ilorin,Federal,Master's degree,Yes,,,,,,,,Yes,
Male,2014,Political Science,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,Agree,Critical thinking skills,Government / Defence,Social media/professional networking sites,To gain and broaden my experience in order to get the type of job I really want,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,No,No
Male,2014,Vocational Teacher Education (Technical Education),"Federal University of Technology, Minna.",Federal,Bachelor's degree,Yes,Strongly Disagree,"Critical thinking skills, Ability to solve complex problems, Written communication skills, Spoken communication skills",Consulting,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Entry level,No,Yes
Female,2017,Accountancy,Covenant University Ota,Private,Bachelor's degree,Ongoing,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Banking / Financial Services,"Personal contacts, including family and friends",To see if I would like the type of work it involved,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2016,Electrical & Electronic Engineering,"Ladoke Akintola University of Technology, Ogbomoso",State,Bachelor's degree,No,,,,,,,,No,
Male,2016,Medical Rehabilitation,"Federal University of Technology, Owerri",Federal,Bachelor's degree,Ongoing,,,,,,,,No,
Female,2016,Education And Biology,University of Lagos,Federal,Bachelor's degree,Yes,,,,,,,,Yes,
Male,2013,Computer Science,"Madonna University, Okija",Private,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to work with others, Spoken communication skills",Technology,"Personal contacts, including family and friends",,,,No,No
Male,2014,Physiology,"Ladoke Akintola University of Technology, Ogbomoso",State,Bachelor's degree,Yes,Strongly Disagree,Critical thinking skills,FMCG,"Personal contacts, including family and friends",In order to earn a living/pay off debts,No: the qualification was not required,Entry level,No,No
Female,2015,Business Administration,"Tai Solarin Univ. of Education, Ijebu-Ode",State,Bachelor's degree,Yes,Agree,Ability to work with others,Others,Recruitment agency/Online job site,,,,No,No
Male,2016,Forest Resources Management (Forestry),"University of Agriculture, Abeokuta.",Federal,Bachelor's degree,Ongoing,Strongly Disagree,Critical thinking skills,Technology,Social media/professional networking sites,It fitted into my career plan/it was exactly the type of work I wanted,Yes: the qualification was a formal requirement,Entry level,Yes,No
Male,2015,History and International Studies,"Imo State University, Owerri",State,Bachelor's degree,Yes,Strongly Disagree,"Critical thinking skills, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Media,Recruitment agency/Online job site,It was the best job offer I received,Yes: the qualification was a formal requirement,Clerical and administrative,No,No
Male,2016,Physics and Astronomy,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",FMCG,Social media/professional networking sites,It was an opportunity to progress in the organisation,Yes: the qualification was a formal requirement,Entry level,No,Yes
Male,2013,Biochemistry,University of Port-Harcourt,Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Logistics / Transportation,Social media/professional networking sites,,,,No,Yes
Male,2014,Computer Science,"Ladoke Akintola University of Technology, Ogbomoso",State,Bachelor's degree,Yes,Agree,Knowledge of the skill(s) you are studying,Technology,"Personal contacts, including family and friends",,,,No,No
Male,2016,Estate Management,"Lagos State Polytechnic, Ikorodu, Ikeja, Lagos, Lagos State.",State,Higher National Diploma (HND),No,Agree,"Critical thinking skills, Ability to work with others, Spoken communication skills",Media,Social media/professional networking sites,It fitted into my career plan/it was exactly the type of work I wanted,Yes: the qualification was a formal requirement,Entry level,No,No
Female,2017,Architecture,Covenant University Ota,Private,Bachelor's degree,No,Disagree,None of the above,Creatives/Art/Design,"Personal contacts, including family and friends",,,,No,No
Female,2016,Mass Communication (Communication and Language Arts),University of Benin,Federal,Bachelor's degree,Ongoing,Agree,Spoken communication skills,Advertising / Marketing / Comms,"Personal contacts, including family and friends",,,,No,No
Male,2015,Business Administration,"University of Agriculture, Abeokuta.",Federal,Bachelor's degree,Yes,Agree,"Ability to work with others, Spoken communication skills",Technology,Recruitment agency/Online job site,It was the only job offer I received,Yes: the qualification was a formal requirement,Entry level,Yes,No
Male,2013,Accountancy,"Plateau State Polytechnic, Barkin-Ladi, Jos, Plateau State.",State,Higher National Diploma (HND),Yes,,,,,,,,No,
Male,2013,Pharmaceutical Technology and Industrial Pharmacy,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Oil & Gas / Mining,"Personal contacts, including family and friends",It fitted into my career plan/it was exactly the type of work I wanted,Yes: the qualification was a formal requirement,Entry level,No,No
Female,2016,Accountancy,Covenant University Ota,Private,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Oil & Gas / Mining,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,No,No
Prefer not to say,2013,Architecture,"Abubakar Tafawa Balewa University, Bauchi",Federal,Bachelor's degree,Yes,Strongly Agree,Critical thinking skills,Construction / Real Estate,Media (e.g. newspaper/magazine advertisement),It fitted into my career plan/it was exactly the type of work I wanted,Yes: the qualification was a formal requirement,Entry level,No,No
